2025-11-14T01:51:12.1998663+05:00 LoadFoodItems: baseDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\bin\Debug\net8.0\, projectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, exists=True
2025-11-14T01:51:12.2184755+05:00 LoadFoodCategories: baseDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\bin\Debug\net8.0\, projectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, exists=True
2025-11-14T01:54:43.6557622+05:00 LoadFoodItems: baseDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\bin\Debug\net8.0\, projectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, exists=True
2025-11-14T01:54:43.6661783+05:00 LoadFoodCategories: baseDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\bin\Debug\net8.0\, projectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, exists=True
2025-11-14T02:12:48.5284269+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T02:12:48.5419798+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T02:13:48.1361826+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T02:13:48.1511503+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T02:14:40.4431153+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T02:14:40.4560447+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T02:22:06.2410250+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T02:22:06.2563920+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T11:02:22.9994060+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T11:02:23.0165020+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T11:07:56.3664685+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
2025-11-14T11:07:56.3867837+05:00 LoadFoodCategories: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\food_categories.json, Exists=True
2025-11-14T11:12:03.2170235+05:00 LoadFoodItems: ProjectRoot=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot, UsersDir=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users, Path=C:\Users\Batyrkhan\Documents\Progs\DiabetesBot\DiabetesBot\Data\users\foods.json, Exists=True
